Fecha;Hora;Latitud;Longitud;Medicion;Fuerza [KG];Distancia [CM];Distancia total;Fuerza Promedio;Fuerza Maxima;Distancia Fuerza Maxima;
;; ; ; ;  36;0000; ; ; ; ;
;; ; ; ;  37;0000; ; ; ; ;
;; ; ; ;  40;0000; ; ; ; ;
;; ; ; ;  50;0000; ; ; ; ;
;; ; ; ; ; ;00;36.88;63.00;00;
20/03/2025;18:02:20;-27226034;-61167570;0113; ; ; ; ; ; ;
;; ; ; ;  14;0000; ; ; ; ;
;; ; ; ;  25;0000; ; ; ; ;
;; ; ; ;  28;0000; ; ; ; ;
;; ; ; ;  31;0000; ; ; ; ;
;; ; ; ;  35;0000; ; ; ; ;
;; ; ; ;  38;0000; ; ; ; ;
;; ; ; ;  42;0000; ; ; ; ;
;; ; ; ;  44;0000; ; ; ; ;
;; ; ; ;  46;0000; ; ; ; ;
;; ; ; ;  47;0000; ; ; ; ;
;; ; ; ;  47;0000; ; ; ; ;
;; ; ; ;  49;0000; ; ; ; ;
;; ; ; ;  49;0000; ; ; ; ;
;; ; ; ;  49;0000; ; ; ; ;
;; ; ; ;  48;0000; ; ; ; ;
;; ; ; ;  46;0000; ; ; ; ;
;; ; ; ;  44;0000; ; ; ; ;
;; ; ; ;  43;0000; ; ; ; ;
;; ; ; ;  39;0000; ; ; ; ;
20/03/2025;19:01:31;0;0;0114; ; ; ; ; ; ;
;; ; ; ;   9;0034; ; ; ; ;
;; ; ; ;  16;0037; ; ; ; ;
;; ; ; ;  38;0088; ; ; ; ;
;; ; ; ;  39;0088; ; ; ; ;
;; ; ; ;  36;0088; ; ; ; ;
;; ; ; ;  33;0088; ; ; ; ;
;; ; ; ;  29;0088; ; ; ; ;
;; ; ; ;  29;0088; ; ; ; ;
;; ; ; ;  32;0088; ; ; ; ;
;; ; ; ;  37;0088; ; ; ; ;
;; ; ; ;  37;0088; ; ; ; ;
;; ; ; ;  40;0088; ; ; ; ;
;; ; ; ; ; ;88;31.64;40.00;88;
20/03/2025;19:02:41;0;0;0115; ; ; ; ; ; ;
;; ; ; ;  15;0088; ; ; ; ;
;; ; ; ;  28;0088; ; ; ; ;
;; ; ; ;  35;0088; ; ; ; ;
;; ; ; ;  37;0088; ; ; ; ;
;; ; ; ;  38;0088; ; ; ; ;
;; ; ; ;  18;0088; ; ; ; ;
;; ; ; ;  13;0034; ; ; ; ;
;; ; ; ;  27;0043; ; ; ; ;
;; ; ; ;  31;0043; ; ; ; ;
;; ; ; ;  32;0054; ; ; ; ;
;; ; ; ;  24;0061; ; ; ; ;
;; ; ; ;  24;0088; ; ; ; ;
;; ; ; ;  30;0088; ; ; ; ;
;; ; ; ;  26;0088; ; ; ; ;
;; ; ; ;  18;0088; ; ; ; ;
;; ; ; ;  26;0088; ; ; ; ;
;; ; ; ;  38;0088; ; ; ; ;
;; ; ; ;  26;0088; ; ; ; ;
;; ; ; ; ; ;88;26.25;38.00;88;
20/03/2025;19:04:51;-26834713;-60853354;0117; ; ; ; ; ; ;
;; ; ; ;  11;0038; ; ; ; ;
;; ; ; ;  27;0088; ; ; ; ;
;; ; ; ;  36;0088; ; ; ; ;
;; ; ; ;  41;0088; ; ; ; ;
;; ; ; ;  44;0088; ; ; ; ;
;; ; ; ;  43;0088; ; ; ; ;
;; ; ; ;  33;0088; ; ; ; ;
;; ; ; ;  25;0088; ; ; ; ;
;; ; ; ; ; ;88;32.50;44.00;88;
20/03/2025;19:05:16;-26834713;-60853354;0118; ; ; ; ; ; ;
;; ; ; ;  12;0037; ; ; ; ;
;; ; ; ;  31;0038; ; ; ; ;
;; ; ; ;  40;0088; ; ; ; ;
;; ; ; ;  41;0088; ; ; ; ;
;; ; ; ;  44;0088; ; ; ; ;
;; ; ; ;  46;0088; ; ; ; ;
;; ; ; ;  46;0088; ; ; ; ;
;; ; ; ;  48;0088; ; ; ; ;
;; ; ; ;  49;0088; ; ; ; ;
;; ; ; ;  49;0088; ; ; ; ;
;; ; ; ;  50;0088; ; ; ; ;
;; ; ; ;  51;0088; ; ; ; ;
;; ; ; ;  50;0088; ; ; ; ;
;; ; ; ;  44;0088; ; ; ; ;
;; ; ; ;  37;0088; ; ; ; ;
;; ; ; ;  29;0088; ; ; ; ;
;; ; ; ; ; ;88;40.59;51.00;88;
;; ; ; ;   9;0093; ; ; ; ;
;; ; ; ;  20;0093; ; ; ; ;
;; ; ; ;  30;0093; ; ; ; ;
;; ; ; ;  33;0093; ; ; ; ;
;; ; ; ;  36;0093; ; ; ; ;
;; ; ; ;  38;0093; ; ; ; ;
;; ; ; ;  40;0093; ; ; ; ;
;; ; ; ;  39;0093; ; ; ; ;
;; ; ; ;  50;0093; ; ; ; ;
;; ; ; ; ; ;93;36.75;50.00;93;
20/03/2025;19:13:02;-26834841;-60853275;0121; ; ; ; ; ; ;
;; ; ; ;  11;0044; ; ; ; ;
;; ; ; ;  11;0044; ; ; ; ;
;; ; ; ;  13;0044; ; ; ; ;
;; ; ; ;  17;0044; ; ; ; ;
;; ; ; ;  27;0045; ; ; ; ;
;; ; ; ;  39;0093; ; ; ; ;
;; ; ; ;  44;0093; ; ; ; ;
;; ; ; ;  44;0093; ; ; ; ;
;; ; ; ;  47;0093; ; ; ; ;
;; ; ; ;  50;0093; ; ; ; ;
;; ; ; ;  46;0093; ; ; ; ;
;; ; ; ;  30;0093; ; ; ; ;
;; ; ; ;  31;0093; ; ; ; ;
;; ; ; ;  27;0093; ; ; ; ;
;; ; ; ; ; ;93;31.21;50.00;93;
20/03/2025;19:13:26;-26834841;-60853275;0122; ; ; ; ; ; ;
;; ; ; ;  13;0041; ; ; ; ;
;; ; ; ;  37;0044; ; ; ; ;
;; ; ; ;  43;0044; ; ; ; ;
;; ; ; ;  46;0044; ; ; ; ;
;; ; ; ;  52;0044; ; ; ; ;
;; ; ; ;  52;0047; ; ; ; ;
;; ; ; ;  54;0050; ; ; ; ;
;; ; ; ;  43;0052; ; ; ; ;
;; ; ; ;  39;0057; ; ; ; ;
;; ; ; ;  32;0069; ; ; ; ;
;; ; ; ;  30;0071; ; ; ; ;
;; ; ; ;   6;0071; ; ; ; ;
;; ; ; ; ; ;71;37.25;54.00;50;
20/03/2025;19:16:08;-26834857;-60853259;0123; ; ; ; ; ; ;
;; ; ; ;   8;0093; ; ; ; ;
;; ; ; ;  16;0093; ; ; ; ;
;; ; ; ;  22;0093; ; ; ; ;
;; ; ; ;  28;0093; ; ; ; ;
;; ; ; ;  29;0093; ; ; ; ;
;; ; ; ;  33;0093; ; ; ; ;
;; ; ; ;  37;0093; ; ; ; ;
;; ; ; ;  42;0093; ; ; ; ;
;; ; ; ;  44;0093; ; ; ; ;
;; ; ; ;  45;0093; ; ; ; ;
;; ; ; ;  46;0093; ; ; ; ;
;; ; ; ;  44;0093; ; ; ; ;
;; ; ; ;  39;0093; ; ; ; ;
;; ; ; ;  36;0093; ; ; ; ;
;; ; ; ;  32;0093; ; ; ; ;
;; ; ; ;  29;0093; ; ; ; ;
;; ; ; ;  32;0093; ; ; ; ;
;; ; ; ;  37;0093; ; ; ; ;
;; ; ; ;  39;0093; ; ; ; ;
;; ; ; ;  41;0093; ; ; ; ;
;; ; ; ;  39;0093; ; ; ; ;
;; ; ; ;  39;0093; ; ; ; ;
;; ; ; ;  40;0093; ; ; ; ;
;; ; ; ;  39;0093; ; ; ; ;
;; ; ; ;  37;0093; ; ; ; ;
;; ; ; ;  33;0093; ; ; ; ;
;; ; ; ;   8;0093; ; ; ; ;
;; ; ; ; ; ;93;33.85;46.00;93;
20/03/2025;19:17:20;-26834851;-60853262;0124; ; ; ; ; ; ;
;; ; ; ;   5;0093; ; ; ; ;
;; ; ; ; ; ;93;5.00;5.00;93;
20/03/2025;19:17:30;-26834851;-60853262;0125; ; ; ; ; ; ;
;; ; ; ;   7;0093; ; ; ; ;
;; ; ; ;  10;0093; ; ; ; ;
;; ; ; ;  12;0093; ; ; ; ;
;; ; ; ;  17;0093; ; ; ; ;
;; ; ; ;  23;0093; ; ; ; ;
;; ; ; ;  28;0093; ; ; ; ;
;; ; ; ;  33;0093; ; ; ; ;
;; ; ; ;  28;0093; ; ; ; ;
;; ; ; ;  27;0093; ; ; ; ;
;; ; ; ;  30;0093; ; ; ; ;
;; ; ; ;  32;0093; ; ; ; ;
;; ; ; ;  33;0093; ; ; ; ;
;; ; ; ;  32;0093; ; ; ; ;
;; ; ; ;  33;0093; ; ; ; ;
;; ; ; ;  38;0093; ; ; ; ;
;; ; ; ;  28;0093; ; ; ; ;
;; ; ; ;   4;0093; ; ; ; ;
;; ; ; ; ; ;93;25.58;38.00;93;
;; ; ; ; ; ;00;0.00;0.00;00;
20/03/2025;19:19:12;-26834869;-60853255;0127; ; ; ; ; ; ;
;; ; ; ;  12;0093; ; ; ; ;
;; ; ; ;  13;0093; ; ; ; ;
;; ; ; ;  17;0093; ; ; ; ;
;; ; ; ;  22;0093; ; ; ; ;
;; ; ; ;  18;0093; ; ; ; ;
;; ; ; ; ; ;93;16.40;22.00;93;
20/03/2025;19:19:22;-26834869;-60853255;0128; ; ; ; ; ; ;
;; ; ; ;   6;0093; ; ; ; ;
;; ; ; ;   9;0093; ; ; ; ;
;; ; ; ;  10;0093; ; ; ; ;
;; ; ; ;  10;0093; ; ; ; ;
;; ; ; ;  12;0093; ; ; ; ;
;; ; ; ;  14;0093; ; ; ; ;
;; ; ; ;  16;0093; ; ; ; ;
;; ; ; ;  17;0093; ; ; ; ;
;; ; ; ;   6;0093; ; ; ; ;
;; ; ; ;   8;0093; ; ; ; ;
;; ; ; ;  12;0093; ; ; ; ;
;; ; ; ;  11;0093; ; ; ; ;
;; ; ; ;  10;0093; ; ; ; ;
;; ; ; ;   9;0093; ; ; ; ;
;; ; ; ;   9;0093; ; ; ; ;
;; ; ; ;   9;0093; ; ; ; ;
;; ; ; ;  10;0093; ; ; ; ;
;; ; ; ;   9;0093; ; ; ; ;
;; ; ; ;   8;0093; ; ; ; ;
;; ; ; ;   8;0093; ; ; ; ;
;; ; ; ;   9;0093; ; ; ; ;
;; ; ; ;  13;0093; ; ; ; ;
;; ; ; ;  14;0093; ; ; ; ;
;; ; ; ;  13;0093; ; ; ; ;
;; ; ; ;  11;0093; ; ; ; ;
;; ; ; ;  10;0093; ; ; ; ;
;; ; ; ;  10;0093; ; ; ; ;
;; ; ; ;  10;0093; ; ; ; ;
;; ; ; ;   9;0093; ; ; ; ;
;; ; ; ;   9;0093; ; ; ; ;
;; ; ; ;   8;0093; ; ; ; ;
;; ; ; ;  16;0093; ; ; ; ;
;; ; ; ;  23;0093; ; ; ; ;
;; ; ; ;  27;0093; ; ; ; ;
;; ; ; ;  28;0093; ; ; ; ;
;; ; ; ;  29;0093; ; ; ; ;
;; ; ; ;  29;0093; ; ; ; ;
;; ; ; ;  30;0093; ; ; ; ;
;; ; ; ;  31;0093; ; ; ; ;
;; ; ; ;  31;0093; ; ; ; ;
;; ; ; ;  33;0093; ; ; ; ;
;; ; ; ;  30;0093; ; ; ; ;
;; ; ; ;  31;0093; ; ; ; ;
;; ; ; ;  30;0093; ; ; ; ;
;; ; ; ;  30;0093; ; ; ; ;
;; ; ; ;  29;0093; ; ; ; ;
;; ; ; ;  28;0093; ; ; ; ;
;; ; ; ;  26;0093; ; ; ; ;
;; ; ; ;  26;0093; ; ; ; ;
;; ; ; ;  24;0093; ; ; ; ;
;; ; ; ;  23;0093; ; ; ; ;
;; ; ; ;  25;0093; ; ; ; ;
;; ; ; ;  27;0093; ; ; ; ;
;; ; ; ;  30;0093; ; ; ; ;
;; ; ; ;  32;0093; ; ; ; ;
;; ; ; ;  35;0093; ; ; ; ;
;; ; ; ;  34;0093; ; ; ; ;
;; ; ; ;   3;0093; ; ; ; ;
;; ; ; ; ; ;93;18.26;35.00;93;
20/03/2025;19:20:31;-26834878;-60853275;0129; ; ; ; ; ; ;
;; ; ; ;   7;0040; ; ; ; ;
;; ; ; ;  11;0093; ; ; ; ;
;; ; ; ;  13;0093; ; ; ; ;
;; ; ; ;  17;0093; ; ; ; ;
;; ; ; ;  20;0093; ; ; ; ;
;; ; ; ;  25;0093; ; ; ; ;
;; ; ; ;  26;0093; ; ; ; ;
;; ; ; ;  27;0093; ; ; ; ;
;; ; ; ;  28;0093; ; ; ; ;
;; ; ; ;  28;0093; ; ; ; ;
;; ; ; ;  31;0093; ; ; ; ;
;; ; ; ;  31;0093; ; ; ; ;
;; ; ; ;  30;0093; ; ; ; ;
;; ; ; ;  28;0093; ; ; ; ;
;; ; ; ;  29;0093; ; ; ; ;
;; ; ; ;  28;0093; ; ; ; ;
;; ; ; ;  27;0093; ; ; ; ;
;; ; ; ;  25;0093; ; ; ; ;
;; ; ; ;  25;0093; ; ; ; ;
;; ; ; ;  23;0093; ; ; ; ;
;; ; ; ;  22;0093; ; ; ; ;
;; ; ; ;  21;0093; ; ; ; ;
;; ; ; ;  21;0093; ; ; ; ;
;; ; ; ;  21;0093; ; ; ; ;
;; ; ; ;  21;0093; ; ; ; ;
;; ; ; ;  21;0093; ; ; ; ;
;; ; ; ;  20;0093; ; ; ; ;
;; ; ; ;  21;0093; ; ; ; ;
;; ; ; ;  21;0093; ; ; ; ;
;; ; ; ;  21;0093; ; ; ; ;
;; ; ; ;  20;0093; ; ; ; ;
;; ; ; ;  20;0093; ; ; ; ;
;; ; ; ; ; ;93;22.78;31.00;93;
;; ; ; ; ; ;00;0.00;0.00;00;
20/03/2025;19:21:18;-26834987;-60853048;0131; ; ; ; ; ; ;
;; ; ; ;  10;0093; ; ; ; ;
;; ; ; ;  21;0093; ; ; ; ;
;; ; ; ;  26;0093; ; ; ; ;
;; ; ; ;  28;0093; ; ; ; ;
;; ; ; ;  30;0093; ; ; ; ;
;; ; ; ;  29;0093; ; ; ; ;
;; ; ; ;  29;0093; ; ; ; ;
;; ; ; ;  26;0093; ; ; ; ;
;; ; ; ;  24;0093; ; ; ; ;
;; ; ; ;  23;0093; ; ; ; ;
;; ; ; ;  21;0093; ; ; ; ;
;; ; ; ;  21;0093; ; ; ; ;
;; ; ; ;  22;0093; ; ; ; ;
;; ; ; ;  23;0093; ; ; ; ;
;; ; ; ;  22;0093; ; ; ; ;
;; ; ; ; ; ;93;23.67;30.00;93;
20/03/2025;19:22:03;-26834983;-60853050;0132; ; ; ; ; ; ;
;; ; ; ;  10;0093; ; ; ; ;
;; ; ; ;  13;0093; ; ; ; ;
;; ; ; ;  14;0093; ; ; ; ;
;; ; ; ;  17;0093; ; ; ; ;
;; ; ; ;  19;0093; ; ; ; ;
;; ; ; ;  17;0093; ; ; ; ;
;; ; ; ;  15;0093; ; ; ; ;
;; ; ; ;  17;0093; ; ; ; ;
;; ; ; ;  22;0093; ; ; ; ;
;; ; ; ;  16;0093; ; ; ; ;
;; ; ; ; ; ;93;16.00;22.00;93;
20/03/2025;19:27:03;-26834974;-60853040;0133; ; ; ; ; ; ;
;; ; ; ;   8;0044; ; ; ; ;
;; ; ; ;  12;0046; ; ; ; ;
;; ; ; ;  14;0046; ; ; ; ;
;; ; ; ;  15;0048; ; ; ; ;
;; ; ; ;  20;0048; ; ; ; ;
;; ; ; ;  23;0048; ; ; ; ;
;; ; ; ;  26;0052; ; ; ; ;
;; ; ; ;  27;0093; ; ; ; ;
;; ; ; ;  25;0093; ; ; ; ;
;; ; ; ;  22;0093; ; ; ; ;
;; ; ; ;  20;0093; ; ; ; ;
;; ; ; ;  18;0093; ; ; ; ;
;; ; ; ;  17;0093; ; ; ; ;
;; ; ; ;  17;0093; ; ; ; ;
;; ; ; ;  18;0093; ; ; ; ;
;; ; ; ;  20;0093; ; ; ; ;
;; ; ; ;  22;0093; ; ; ; ;
;; ; ; ;  22;0093; ; ; ; ;
;; ; ; ;  23;0093; ; ; ; ;
;; ; ; ;  24;0093; ; ; ; ;
;; ; ; ;  26;0093; ; ; ; ;
;; ; ; ;  25;0093; ; ; ; ;
;; ; ; ;  25;0093; ; ; ; ;
;; ; ; ;  25;0093; ; ; ; ;
;; ; ; ;  25;0093; ; ; ; ;
;; ; ; ;  24;0093; ; ; ; ;
;; ; ; ;  24;0093; ; ; ; ;
;; ; ; ;  21;0093; ; ; ; ;
;; ; ; ; ; ;93;21.00;27.00;93;
20/03/2025;19:27:38;-26834974;-60853040;0134; ; ; ; ; ; ;
;; ; ; ;   8;0042; ; ; ; ;
;; ; ; ;  13;0042; ; ; ; ;
;; ; ; ;  19;0093; ; ; ; ;
;; ; ; ;  25;0093; ; ; ; ;
;; ; ; ;  31;0093; ; ; ; ;
;; ; ; ;  34;0093; ; ; ; ;
;; ; ; ;  34;0093; ; ; ; ;
;; ; ; ;  36;0093; ; ; ; ;
;; ; ; ;  40;0093; ; ; ; ;
;; ; ; ;  38;0093; ; ; ; ;
;; ; ; ;  36;0093; ; ; ; ;
;; ; ; ;  35;0093; ; ; ; ;
;; ; ; ;  35;0093; ; ; ; ;
;; ; ; ;  34;0093; ; ; ; ;
;; ; ; ;  34;0093; ; ; ; ;
;; ; ; ;  31;0093; ; ; ; ;
;; ; ; ;  30;0093; ; ; ; ;
;; ; ; ;  29;0093; ; ; ; ;
;; ; ; ;  29;0093; ; ; ; ;
;; ; ; ;  28;0093; ; ; ; ;
;; ; ; ;  21;0093; ; ; ; ;
;; ; ; ;  25;0093; ; ; ; ;
;; ; ; ;  25;0093; ; ; ; ;
;; ; ; ;  25;0093; ; ; ; ;
;; ; ; ;  26;0093; ; ; ; ;
;; ; ; ;  27;0093; ; ; ; ;
;; ; ; ;  27;0093; ; ; ; ;
;; ; ; ;   7;0093; ; ; ; ;
;; ; ; ; ; ;93;27.93;40.00;93;
;; ; ; ; ; ;00;0.00;0.00;00;
20/03/2025;19:28:28;-26835031;-60853060;0136; ; ; ; ; ; ;
;; ; ; ;  12;0044; ; ; ; ;
;; ; ; ;  20;0044; ; ; ; ;
;; ; ; ;  25;0093; ; ; ; ;
;; ; ; ;  27;0093; ; ; ; ;
;; ; ; ;  32;0093; ; ; ; ;
;; ; ; ;  35;0093; ; ; ; ;
;; ; ; ;  36;0093; ; ; ; ;
;; ; ; ;  36;0093; ; ; ; ;
;; ; ; ;  38;0093; ; ; ; ;
;; ; ; ;  41;0093; ; ; ; ;
;; ; ; ;  43;0093; ; ; ; ;
;; ; ; ;  45;0093; ; ; ; ;
;; ; ; ;  45;0093; ; ; ; ;
;; ; ; ;  44;0093; ; ; ; ;
;; ; ; ;  43;0093; ; ; ; ;
;; ; ; ;  41;0093; ; ; ; ;
;; ; ; ;  38;0093; ; ; ; ;
;; ; ; ;  36;0093; ; ; ; ;
;; ; ; ;  35;0093; ; ; ; ;
;; ; ; ;  33;0093; ; ; ; ;
;; ; ; ;  34;0093; ; ; ; ;
;; ; ; ;  33;0093; ; ; ; ;
;; ; ; ;  33;0093; ; ; ; ;
;; ; ; ;  31;0093; ; ; ; ;
;; ; ; ;  29;0093; ; ; ; ;
;; ; ; ;  27;0093; ; ; ; ;
;; ; ; ;  28;0093; ; ; ; ;
;; ; ; ;  18;0093; ; ; ; ;
;; ; ; ; ; ;93;33.50;45.00;93;
20/03/2025;19:29:13;-26835041;-60853058;0137; ; ; ; ; ; ;
;; ; ; ;  18;0042; ; ; ; ;
;; ; ; ;  39;0045; ; ; ; ;
;; ; ; ;  43;0045; ; ; ; ;
;; ; ; ;  49;0046; ; ; ; ;
;; ; ; ;  49;0093; ; ; ; ;
;; ; ; ;  49;0093; ; ; ; ;
;; ; ; ;  42;0093; ; ; ; ;
;; ; ; ;  37;0093; ; ; ; ;
;; ; ; ;  31;0093; ; ; ; ;
;; ; ; ;   2;0093; ; ; ; ;
;; ; ; ; ; ;93;35.90;49.00;93;
20/03/2025;19:31:05;-26835171;-60853017;0138; ; ; ; ; ; ;
;; ; ; ;  10;0093; ; ; ; ;
;; ; ; ;  15;0093; ; ; ; ;
;; ; ; ;  18;0093; ; ; ; ;
;; ; ; ;  22;0093; ; ; ; ;
;; ; ; ;  27;0093; ; ; ; ;
;; ; ; ;  28;0093; ; ; ; ;
;; ; ; ;  28;0093; ; ; ; ;
;; ; ; ;  28;0093; ; ; ; ;
;; ; ; ;  28;0093; ; ; ; ;
;; ; ; ;  28;0093; ; ; ; ;
;; ; ; ;  27;0093; ; ; ; ;
;; ; ; ;  27;0093; ; ; ; ;
;; ; ; ;  29;0093; ; ; ; ;
;; ; ; ;  31;0093; ; ; ; ;
;; ; ; ;  34;0093; ; ; ; ;
;; ; ; ;  36;0093; ; ; ; ;
;; ; ; ;  37;0093; ; ; ; ;
;; ; ; ;  37;0093; ; ; ; ;
;; ; ; ;  39;0093; ; ; ; ;
;; ; ; ;  41;0093; ; ; ; ;
;; ; ; ;  42;0093; ; ; ; ;
;; ; ; ;  44;0093; ; ; ; ;
;; ; ; ;  46;0093; ; ; ; ;
;; ; ; ;  47;0093; ; ; ; ;
;; ; ; ;  49;0093; ; ; ; ;
;; ; ; ;  52;0093; ; ; ; ;
;; ; ; ;  53;0093; ; ; ; ;
;; ; ; ;  54;0093; ; ; ; ;
;; ; ; ;  51;0093; ; ; ; ;
;; ; ; ;  46;0093; ; ; ; ;
;; ; ; ;  36;0093; ; ; ; ;
;; ; ; ;  29;0093; ; ; ; ;
;; ; ; ; ; ;93;34.97;54.00;93;
20/03/2025;19:32:19;-26835166;-60853033;0139; ; ; ; ; ; ;
;; ; ; ;   8;0032; ; ; ; ;
;; ; ; ;  12;0093; ; ; ; ;
;; ; ; ;  13;0093; ; ; ; ;
;; ; ; ;  14;0093; ; ; ; ;
;; ; ; ;  16;0093; ; ; ; ;
;; ; ; ;   3;0093; ; ; ; ;
;; ; ; ; ; ;93;11.00;16.00;93;
20/03/2025;19:32:31;-26835166;-60853033;0140; ; ; ; ; ; ;
;; ; ; ;   7;0093; ; ; ; ;
;; ; ; ;   9;0093; ; ; ; ;
;; ; ; ;   9;0093; ; ; ; ;
;; ; ; ;  11;0093; ; ; ; ;
;; ; ; ;  12;0093; ; ; ; ;
;; ; ; ;  15;0093; ; ; ; ;
;; ; ; ;  18;0093; ; ; ; ;
;; ; ; ;  21;0093; ; ; ; ;
;; ; ; ;  21;0093; ; ; ; ;
;; ; ; ;  21;0093; ; ; ; ;
;; ; ; ;  21;0093; ; ; ; ;
;; ; ; ;  20;0093; ; ; ; ;
;; ; ; ;  21;0093; ; ; ; ;
;; ; ; ;  20;0093; ; ; ; ;
;; ; ; ;  13;0093; ; ; ; ;
;; ; ; ; ; ;93;15.93;21.00;93;
20/03/2025;19:33:16;-26835165;-60853024;0141; ; ; ; ; ; ;
;; ; ; ;   6;0000; ; ; ; ;
;; ; ; ;   6;0000; ; ; ; ;
;; ; ; ;   7;0000; ; ; ; ;
;; ; ; ;   8;0000; ; ; ; ;
;; ; ; ;  10;0000; ; ; ; ;
;; ; ; ;  12;0000; ; ; ; ;
;; ; ; ;  13;0000; ; ; ; ;
;; ; ; ;  17;0000; ; ; ; ;
;; ; ; ;  19;0000; ; ; ; ;
;; ; ; ;  20;0000; ; ; ; ;
;; ; ; ;  21;0000; ; ; ; ;
;; ; ; ;  26;0000; ; ; ; ;
;; ; ; ;  26;0000; ; ; ; ;
;; ; ; ;  28;0000; ; ; ; ;
;; ; ; ;  30;0000; ; ; ; ;
;; ; ; ;  32;0000; ; ; ; ;
;; ; ; ;  33;0000; ; ; ; ;
;; ; ; ;  32;0000; ; ; ; ;
;; ; ; ;  33;0000; ; ; ; ;
;; ; ; ;  34;0000; ; ; ; ;
;; ; ; ;  35;0000; ; ; ; ;
;; ; ; ;  35;0000; ; ; ; ;
;; ; ; ;  34;0000; ; ; ; ;
;; ; ; ;  32;0000; ; ; ; ;
;; ; ; ;  25;0000; ; ; ; ;
;; ; ; ;  25;0000; ; ; ; ;
;; ; ; ;  25;0000; ; ; ; ;
;; ; ; ;  27;0000; ; ; ; ;
;; ; ; ;  28;0000; ; ; ; ;
;; ; ; ;  28;0000; ; ; ; ;
;; ; ; ;  27;0000; ; ; ; ;
;; ; ; ;  27;0000; ; ; ; ;
;; ; ; ;  27;0000; ; ; ; ;
;; ; ; ;  25;0000; ; ; ; ;
;; ; ; ;  20;0000; ; ; ; ;
;; ; ; ; ; ;00;23.80;35.00;00;
20/03/2025;19:33:40;-26835165;-60853024;0142; ; ; ; ; ; ;
;; ; ; ;   8;0000; ; ; ; ;
;; ; ; ;  10;0000; ; ; ; ;
;; ; ; ;  12;0000; ; ; ; ;
;; ; ; ;  13;0000; ; ; ; ;
;; ; ; ;  15;0000; ; ; ; ;
;; ; ; ;  18;0000; ; ; ; ;
;; ; ; ;  19;0000; ; ; ; ;
;; ; ; ;  21;0000; ; ; ; ;
;; ; ; ;  22;0000; ; ; ; ;
;; ; ; ;  27;0000; ; ; ; ;
;; ; ; ;  28;0000; ; ; ; ;
;; ; ; ;  29;0000; ; ; ; ;
;; ; ; ;  31;0000; ; ; ; ;
;; ; ; ;  34;0000; ; ; ; ;
;; ; ; ;  36;0000; ; ; ; ;
;; ; ; ;  36;0000; ; ; ; ;
;; ; ; ;  37;0000; ; ; ; ;
;; ; ; ;  40;0000; ; ; ; ;
;; ; ; ;  41;0000; ; ; ; ;
;; ; ; ;  42;0000; ; ; ; ;
;; ; ; ;  43;0000; ; ; ; ;
;; ; ; ;  44;0000; ; ; ; ;
;; ; ; ;  44;0000; ; ; ; ;
;; ; ; ;  44;0000; ; ; ; ;
;; ; ; ;  45;0000; ; ; ; ;
;; ; ; ;  45;0000; ; ; ; ;
;; ; ; ;  46;0000; ; ; ; ;
;; ; ; ;  47;0000; ; ; ; ;
;; ; ; ;  48;0000; ; ; ; ;
;; ; ; ;  47;0000; ; ; ; ;
